English_City,Arabic_City,Date,Number of Transactions,Value of Transactions
HAIL,حائل,"19 Sep,21  -  25 Sep,21",1927,139858
ABHA,أبها,"19 Sep,21  -  25 Sep,21",1770,129860
MAKKAH,مكة المكرمة,"19 Sep,21  -  25 Sep,21",4168,294442
BURAIDAH,بريدة,"19 Sep,21  -  25 Sep,21",2748,231291
KHOBAR,الخبر,"19 Sep,21  -  25 Sep,21",2732,315664
MADINA,المنورة,"19 Sep,21  -  25 Sep,21",4624,329130
DAMMAM,الدمام,"19 Sep,21  -  25 Sep,21",4827,470340
JEDDAH,جدة,"19 Sep,21  -  25 Sep,21",14707,1434275
RIYADH,الرياض,"19 Sep,21  -  25 Sep,21",28558,2802167
OTHER,المدن الأخرى,"19 Sep,21  -  25 Sep,21",35381,2552193
HAIL,حائل,25 Oct - 31 Oct,1491,160602
ABHA,أبها,25 Oct - 31 Oct,1218,132275
MAKKAH,مكة المكرمة,25 Oct - 31 Oct,2726,268008
BURAIDAH,بريدة,25 Oct - 31 Oct,2269,238993
KHOBAR,الخبر,25 Oct - 31 Oct,2276,343861
MADINA,المنورة,25 Oct - 31 Oct,3482,332265
DAMMAM,الدمام,25 Oct - 31 Oct,4114,516090
JEDDAH,جدة,25 Oct - 31 Oct,10656,1412709
RIYADH,الرياض,25 Oct - 31 Oct,22748,2907882
OTHER,المدن الأخرى,25 Oct - 31 Oct,25010,2656546
TABOUK,تبوك,09 - 15 Aug,1179,108544
HAIL,حائل,09 - 15 Aug,1098,107744
ABHA,أبها,09 - 15 Aug,1393,143986
MAKKAH,مكة المكرمة,09 - 15 Aug,2005,184146
BURAIDAH,بريدة,09 - 15 Aug,1855,181764
KHOBAR,الخبر,09 - 15 Aug,1808,252243
MADINA,المنورة,09 - 15 Aug,2681,240098
DAMMAM,الدمام,09 - 15 Aug,3077,366419
JEDDAH,جدة,09 - 15 Aug,8404,1126343
RIYADH,الرياض,09 - 15 Aug,17571,2090226
OTHER,المدن الأخرى,09 - 15 Aug,19986,1936657
ABHA,أبها,28 Jun - 4 Jul,1328,177548
HAIL,حائل,28 Jun - 4 Jul,1242,190327
TABOUK,تبوك,28 Jun - 4 Jul,1349,198525
MAKKAH,مكة المكرمة,28 Jun - 4 Jul,1992,290919
BURAIDAH,بريدة,28 Jun - 4 Jul,1995,298067
KHOBAR,الخبر,28 Jun - 4 Jul,1816,370443
MADINA,المنورة,28 Jun - 4 Jul,2702,386607
DAMMAM,الدمام,28 Jun - 4 Jul,3358,601905
JEDDAH,جدة,28 Jun - 4 Jul,8385,1664388
RIYADH,الرياض,28 Jun - 4 Jul,18064,3169136
OTHER,المدن الأخرى,28 Jun - 4 Jul,20581,3119201
HAIL,حائل,"27 Dec,20  -  02 Jan,21",1765,185617
ABHA,أبها,"27 Dec,20  -  02 Jan,21",1249,132797
MAKKAH,مكة المكرمة,"27 Dec,20  -  02 Jan,21",3476,339811
BURAIDAH,بريدة,"27 Dec,20  -  02 Jan,21",2582,279167
KHOBAR,الخبر,"27 Dec,20  -  02 Jan,21",2567,400574
MADINA,المنورة,"27 Dec,20  -  02 Jan,21",4150,405958
DAMMAM,الدمام,"27 Dec,20  -  02 Jan,21",4639,607122
JEDDAH,جدة,"27 Dec,20  -  02 Jan,21",13219,1757351
RIYADH,الرياض,"27 Dec,20  -  02 Jan,21",25968,3389615
OTHER,المدن الأخرى,"27 Dec,20  -  02 Jan,21",29187,3043409
HAIL,حائل,"13 Jun,21  -  19 Jun,21",1711,135462
ABHA,أبها,"13 Jun,21  -  19 Jun,21",2011,163289
MAKKAH,مكة المكرمة,"13 Jun,21  -  19 Jun,21",3659,253226
BURAIDAH,بريدة,"13 Jun,21  -  19 Jun,21",2508,209387
KHOBAR,الخبر,"13 Jun,21  -  19 Jun,21",2401,285693
MADINA,المنورة,"13 Jun,21  -  19 Jun,21",4153,292455
DAMMAM,الدمام,"13 Jun,21  -  19 Jun,21",4405,434830
JEDDAH,جدة,"13 Jun,21  -  19 Jun,21",13445,1355000
RIYADH,الرياض,"13 Jun,21  -  19 Jun,21",26034,2580956
OTHER,المدن الأخرى,"13 Jun,21  -  19 Jun,21",32522,2438297
HAIL,حائل,"23 May,21  -  29 May,21",1842,160677
ABHA,أبها,"23 May,21  -  29 May,21",1824,157942
MAKKAH,مكة المكرمة,"23 May,21  -  29 May,21",3639,280590
BURAIDAH,بريدة,"23 May,21  -  29 May,21",2606,231331
KHOBAR,الخبر,"23 May,21  -  29 May,21",2561,322058
MADINA,المنورة,"23 May,21  -  29 May,21",4337,330116
DAMMAM,الدمام,"23 May,21  -  29 May,21",4538,482968
JEDDAH,جدة,"23 May,21  -  29 May,21",13424,1439234
RIYADH,الرياض,"23 May,21  -  29 May,21",26328,2768077
OTHER,المدن الأخرى,"23 May,21  -  29 May,21",33398,2823418
ABHA,أبها,20 - 26 Sep,1147,117318
BURAIDAH,بريدة,20 - 26 Sep,2013,204547
DAMMAM,الدمام,20 - 26 Sep,3593,433927
HAIL,حائل,20 - 26 Sep,1186,121208
JEDDAH,جدة,20 - 26 Sep,9468,1288085
KHOBAR,الخبر,20 - 26 Sep,2123,312360
MADINA,المنورة,20 - 26 Sep,2961,285117
MAKKAH,مكة المكرمة,20 - 26 Sep,2219,211241
RIYADH,الرياض,20 - 26 Sep,20017,2481447
TABOUK,تبوك,20 - 26 Sep,1351,128695
OTHER,المدن الأخرى,20 - 26 Sep,20926,2093214
HAIL,حائل,20 Dec - 26 Dec,1265,118955
ABHA,أبها,20 Dec - 26 Dec,1064,97868
MAKKAH,مكة المكرمة,20 Dec - 26 Dec,2653,218771
BURAIDAH,بريدة,20 Dec - 26 Dec,2068,200603
KHOBAR,الخبر,20 Dec - 26 Dec,2108,286353
MADINA,المنورة,20 Dec - 26 Dec,3205,266194
DAMMAM,الدمام,20 Dec - 26 Dec,3759,436200
JEDDAH,جدة,20 Dec - 26 Dec,10392,1253200
RIYADH,الرياض,20 Dec - 26 Dec,21351,2513065
OTHER,المدن الأخرى,20 Dec - 26 Dec,22921,2086005
HAIL,حائل,"10 Jan,21  -  16 Jan,21",1470,132196
ABHA,أبها,"10 Jan,21  -  16 Jan,21",1011,88650
MAKKAH,مكة المكرمة,"10 Jan,21  -  16 Jan,21",3246,259699
BURAIDAH,بريدة,"10 Jan,21  -  16 Jan,21",2287,209997
KHOBAR,الخبر,"10 Jan,21  -  16 Jan,21",2375,317989
MADINA,المنورة,"10 Jan,21  -  16 Jan,21",3742,314247
DAMMAM,الدمام,"10 Jan,21  -  16 Jan,21",4079,459739
JEDDAH,جدة,"10 Jan,21  -  16 Jan,21",12354,1437495
RIYADH,الرياض,"10 Jan,21  -  16 Jan,21",22874,2587717
OTHER,المدن الأخرى,"10 Jan,21  -  16 Jan,21",26205,2251615
ABHA,أبها,06 - 12 Sep,1143,114533
BURAIDAH,بريدة,06 - 12 Sep,1979,195339
DAMMAM,الدمام,06 - 12 Sep,3618,415068
HAIL,حائل,06 - 12 Sep,1197,116650
JEDDAH,جدة,06 - 12 Sep,9202,1195168
KHOBAR,الخبر,06 - 12 Sep,2021,275089
MADINA,المنورة,06 - 12 Sep,2975,268323
MAKKAH,مكة المكرمة,06 - 12 Sep,2298,203125
RIYADH,الرياض,06 - 12 Sep,20175,2386541
TABOUK,تبوك,06 - 12 Sep,1415,131585
OTHER,المدن الأخرى,06 - 12 Sep,21329,2030225
HAIL,حائل,"25 Apr,21  -  01 May,21",1796,189689
ABHA,أبها,"25 Apr,21  -  01 May,21",1450,152086
MAKKAH,مكة المكرمة,"25 Apr,21  -  01 May,21",4033,459260
BURAIDAH,بريدة,"25 Apr,21  -  01 May,21",2485,265431
KHOBAR,الخبر,"25 Apr,21  -  01 May,21",2189,330554
MADINA,المنورة,"25 Apr,21  -  01 May,21",4301,427430
DAMMAM,الدمام,"25 Apr,21  -  01 May,21",4429,568069
JEDDAH,جدة,"25 Apr,21  -  01 May,21",13305,1766971
RIYADH,الرياض,"25 Apr,21  -  01 May,21",24663,3169823
OTHER,المدن الأخرى,"25 Apr,21  -  01 May,21",31071,3189342
HAIL,حائل,"29 Aug,21  -  04 Sep,21",2090,162690
ABHA,أبها,"29 Aug,21  -  04 Sep,21",1925,155275
MAKKAH,مكة المكرمة,"29 Aug,21  -  04 Sep,21",4576,331555
BURAIDAH,بريدة,"29 Aug,21  -  04 Sep,21",2900,247538
KHOBAR,الخبر,"29 Aug,21  -  04 Sep,21",2786,343680
MADINA,المنورة,"29 Aug,21  -  04 Sep,21",4946,369231
DAMMAM,الدمام,"29 Aug,21  -  04 Sep,21",5222,548370
JEDDAH,جدة,"29 Aug,21  -  04 Sep,21",15614,1620070
RIYADH,الرياض,"29 Aug,21  -  04 Sep,21",30720,3242158
OTHER,المدن الأخرى,"29 Aug,21  -  04 Sep,21",39062,2979323
HAIL,حائل,18 Oct - 24 Oct,1177,111259
ABHA,أبها,18 Oct - 24 Oct,1028,93686
MAKKAH,مكة المكرمة,18 Oct - 24 Oct,2247,186218
BURAIDAH,بريدة,18 Oct - 24 Oct,1929,181097
KHOBAR,الخبر,18 Oct - 24 Oct,1975,260668
MADINA,المنورة,18 Oct - 24 Oct,2861,235468
DAMMAM,الدمام,18 Oct - 24 Oct,3462,380929
JEDDAH,جدة,18 Oct - 24 Oct,9088,1089728
RIYADH,الرياض,18 Oct - 24 Oct,19566,2196524
OTHER,المدن الأخرى,18 Oct - 24 Oct,20493,1861733
HAIL,حائل,"14 Mar,21  -  20 Mar,21",1599,144263
ABHA,أبها,"14 Mar,21  -  20 Mar,21",1305,111458
MAKKAH,مكة المكرمة,"14 Mar,21  -  20 Mar,21",3385,267621
BURAIDAH,بريدة,"14 Mar,21  -  20 Mar,21",2406,224828
KHOBAR,الخبر,"14 Mar,21  -  20 Mar,21",2388,305270
MADINA,المنورة,"14 Mar,21  -  20 Mar,21",3846,311755
DAMMAM,الدمام,"14 Mar,21  -  20 Mar,21",4318,462503
JEDDAH,جدة,"14 Mar,21  -  20 Mar,21",12341,1394742
RIYADH,الرياض,"14 Mar,21  -  20 Mar,21",24533,2700881
