English_City,Arabic_City,Date,Number of Transactions,Value of Transactions
BURAIDAH,بريدة,"04 Apr,21  -  10 Apr,21",2643,256216
KHOBAR,الخبر,"04 Apr,21  -  10 Apr,21",2667,354150
MADINA,المنورة,"04 Apr,21  -  10 Apr,21",4252,363518
DAMMAM,الدمام,"04 Apr,21  -  10 Apr,21",4864,556563
JEDDAH,جدة,"04 Apr,21  -  10 Apr,21",14058,1695883
RIYADH,الرياض,"04 Apr,21  -  10 Apr,21",27393,3136181
OTHER,المدن الأخرى,"04 Apr,21  -  10 Apr,21",31285,2875626
HAIL,حائل,19 - 25 Jul,1100,119842
ABHA,أبها,19 - 25 Jul,1276,139865
BURAIDAH,بريدة,19 - 25 Jul,1836,188444
MAKKAH,مكة المكرمة,19 - 25 Jul,1810,176522
MADINA,المنورة,19 - 25 Jul,2492,246714
KHOBAR,الخبر,19 - 25 Jul,1671,252587
DAMMAM,الدمام,19 - 25 Jul,2956,368684
JEDDAH,جدة,19 - 25 Jul,7802,1104697
OTHER,المدن الأخرى,19 - 25 Jul,18591,1948698
RIYADH,الرياض,19 - 25 Jul,16853,2142139
HAIL,حائل,"16 May,21  -  22 May,21",1540,119323
ABHA,أبها,"16 May,21  -  22 May,21",1497,114723
MAKKAH,مكة المكرمة,"16 May,21  -  22 May,21",3033,206555
BURAIDAH,بريدة,"16 May,21  -  22 May,21",2347,190317
KHOBAR,الخبر,"16 May,21  -  22 May,21",2318,270560
MADINA,المنورة,"16 May,21  -  22 May,21",3696,254917
DAMMAM,الدمام,"16 May,21  -  22 May,21",3829,373853
JEDDAH,جدة,"16 May,21  -  22 May,21",11618,1147789
RIYADH,الرياض,"16 May,21  -  22 May,21",22007,2109702
OTHER,المدن الأخرى,"16 May,21  -  22 May,21",28750,2149327
ABHA,أبها,31 May - 6 Jun,897,120809
HAIL,حائل,31 May - 6 Jun,986,142696
TABOUK,تبوك,31 May - 6 Jun,1113,149848
MAKKAH,مكة المكرمة,31 May - 6 Jun,1605,226461
BURAIDAH,بريدة,31 May - 6 Jun,1655,240009
KHOBAR,الخبر,31 May - 6 Jun,1376,286346
MADINA,المنورة,31 May - 6 Jun,2184,288587
DAMMAM,الدمام,31 May - 6 Jun,2754,461771
JEDDAH,جدة,31 May - 6 Jun,6598,1172235
RIYADH,الرياض,31 May - 6 Jun,14249,2296891
OTHER,المدن الأخرى,31 May - 6 Jun,16865,2468718
HAIL,حائل,"09 May,21  -  15 May,21",1793,148488
ABHA,أبها,"09 May,21  -  15 May,21",1448,125468
MAKKAH,مكة المكرمة,"09 May,21  -  15 May,21",4059,391185
BURAIDAH,بريدة,"09 May,21  -  15 May,21",2544,213280
KHOBAR,الخبر,"09 May,21  -  15 May,21",2228,297279
MADINA,المنورة,"09 May,21  -  15 May,21",4541,375208
DAMMAM,الدمام,"09 May,21  -  15 May,21",4073,424415
JEDDAH,جدة,"09 May,21  -  15 May,21",12787,1413593
RIYADH,الرياض,"09 May,21  -  15 May,21",22333,2387652
OTHER,المدن الأخرى,"09 May,21  -  15 May,21",33374,2708416
HAIL,حائل,"18 Apr,21  -  24 Apr,21",1310,122359
ABHA,أبها,"18 Apr,21  -  24 Apr,21",1116,96892
MAKKAH,مكة المكرمة,"18 Apr,21  -  24 Apr,21",3057,288730
BURAIDAH,بريدة,"18 Apr,21  -  24 Apr,21",1979,184611
KHOBAR,الخبر,"18 Apr,21  -  24 Apr,21",1828,244967
MADINA,المنورة,"18 Apr,21  -  24 Apr,21",3256,260128
DAMMAM,الدمام,"18 Apr,21  -  24 Apr,21",3588,413321
JEDDAH,جدة,"18 Apr,21  -  24 Apr,21",10409,1215985
RIYADH,الرياض,"18 Apr,21  -  24 Apr,21",20189,2298563
OTHER,المدن الأخرى,"18 Apr,21  -  24 Apr,21",23936,2064499
HAIL,حائل,"25 Jul,21  -  31 Jul,21",2154,174178
ABHA,أبها,"25 Jul,21  -  31 Jul,21",2421,209130
MAKKAH,مكة المكرمة,"25 Jul,21  -  31 Jul,21",4088,301464
BURAIDAH,بريدة,"25 Jul,21  -  31 Jul,21",2847,244250
KHOBAR,الخبر,"25 Jul,21  -  31 Jul,21",2453,298428
MADINA,المنورة,"25 Jul,21  -  31 Jul,21",4835,360753
DAMMAM,الدمام,"25 Jul,21  -  31 Jul,21",4468,468123
JEDDAH,جدة,"25 Jul,21  -  31 Jul,21",14560,1506003
RIYADH,الرياض,"25 Jul,21  -  31 Jul,21",27329,2793053
OTHER,المدن الأخرى,"25 Jul,21  -  31 Jul,21",39431,3178665
ABHA,أبها,04 - 10 Oct,1134,112557
BURAIDAH,بريدة,04 - 10 Oct,2057,196093
DAMMAM,الدمام,04 - 10 Oct,3760,423256
HAIL,حائل,04 - 10 Oct,1248,118234
JEDDAH,جدة,04 - 10 Oct,9790,1219036
KHOBAR,الخبر,04 - 10 Oct,2126,281223
MADINA,المنورة,04 - 10 Oct,3084,262644
MAKKAH,مكة المكرمة,04 - 10 Oct,2383,211633
RIYADH,الرياض,04 - 10 Oct,21007,2412653
TABOUK,تبوك,04 - 10 Oct,1448,127538
OTHER,المدن الأخرى,04 - 10 Oct,21813,2029561
ABHA,أبها,30 Aug - 05 Sep,1241,135391
BURAIDAH,بريدة,30 Aug - 05 Sep,2057,218578
DAMMAM,الدمام,30 Aug - 05 Sep,3723,479555
HAIL,حائل,30 Aug - 05 Sep,1265,134578
JEDDAH,جدة,30 Aug - 05 Sep,9617,1400761
KHOBAR,الخبر,30 Aug - 05 Sep,2102,325048
MADINA,المنورة,30 Aug - 05 Sep,3056,314257
MAKKAH,مكة المكرمة,30 Aug - 05 Sep,2366,238978
RIYADH,الرياض,30 Aug - 05 Sep,20795,2737090
TABOUK,تبوك,30 Aug - 05 Sep,1461,153921
OTHER,المدن الأخرى,30 Aug - 05 Sep,21971,2314677
ABHA,أبها,27 Sep - 03 Oct,1236,139810
BURAIDAH,بريدة,27 Sep - 03 Oct,2220,234596
DAMMAM,الدمام,27 Sep - 03 Oct,4042,508563
HAIL,حائل,27 Sep - 03 Oct,1401,151906
JEDDAH,جدة,27 Sep - 03 Oct,10330,1428476
KHOBAR,الخبر,27 Sep - 03 Oct,2204,334254
MADINA,المنورة,27 Sep - 03 Oct,3381,331473
MAKKAH,مكة المكرمة,27 Sep - 03 Oct,2592,262751
RIYADH,الرياض,27 Sep - 03 Oct,22278,2855006
TABOUK,تبوك,27 Sep - 03 Oct,1685,181001
OTHER,المدن الأخرى,27 Sep - 03 Oct,24059,2601637
ABHA,أبها,23 - 29 Aug,1254,141710
BURAIDAH,بريدة,23 - 29 Aug,1944,209101
DAMMAM,الدمام,23 - 29 Aug,3373,468948
HAIL,حائل,23 - 29 Aug,1198,135962
JEDDAH,جدة,23 - 29 Aug,8945,1394816
KHOBAR,الخبر,23 - 29 Aug,1954,347780
MADINA,المنورة,23 - 29 Aug,2833,308675
MAKKAH,مكة المكرمة,23 - 29 Aug,2181,240004
RIYADH,الرياض,23 - 29 Aug,19524,2816965
TABOUK,تبوك,23 - 29 Aug,1372,159928
OTHER,المدن الأخرى,23 - 29 Aug,20580,2324951
HAIL,حائل,"27 Jun,21  -  03 Jul,21",2188,190614
ABHA,أبها,"27 Jun,21  -  03 Jul,21",2384,211463
MAKKAH,مكة المكرمة,"27 Jun,21  -  03 Jul,21",4326,338786
BURAIDAH,بريدة,"27 Jun,21  -  03 Jul,21",2899,260528
KHOBAR,الخبر,"27 Jun,21  -  03 Jul,21",2741,353087
MADINA,المنورة,"27 Jun,21  -  03 Jul,21",4921,393341
DAMMAM,الدمام,"27 Jun,21  -  03 Jul,21",5074,551251
JEDDAH,جدة,"27 Jun,21  -  03 Jul,21",15609,1699371
RIYADH,الرياض,"27 Jun,21  -  03 Jul,21",29840,3208795
OTHER,المدن الأخرى,"27 Jun,21  -  03 Jul,21",38943,3335339
HAIL,حائل,"18 Jul,21  -  24 Jul,21",1685,110119
ABHA,أبها,"18 Jul,21  -  24 Jul,21",1857,140315
MAKKAH,مكة المكرمة,"18 Jul,21  -  24 Jul,21",3305,182765
BURAIDAH,بريدة,"18 Jul,21  -  24 Jul,21",2428,160822
KHOBAR,الخبر,"18 Jul,21  -  24 Jul,21",2010,208189
MADINA,المنورة,"18 Jul,21  -  24 Jul,21",4015,246107
DAMMAM,الدمام,"18 Jul,21  -  24 Jul,21",3469,285325
JEDDAH,جدة,"18 Jul,21  -  24 Jul,21",11127,898075
RIYADH,الرياض,"18 Jul,21  -  24 Jul,21",20348,1669265
OTHER,المدن الأخرى,"18 Jul,21  -  24 Jul,21",32937,2128412
HAIL,حائل,29 Nov - 05 Dec,1479,150161
ABHA,أبها,29 Nov - 05 Dec,1215,122080
MAKKAH,مكة المكرمة,29 Nov - 05 Dec,2939,269607
BURAIDAH,بريدة,29 Nov - 05 Dec,2327,232111
KHOBAR,الخبر,29 Nov - 05 Dec,2411,341008
MADINA,المنورة,29 Nov - 05 Dec,3557,327289
DAMMAM,الدمام,29 Nov - 05 Dec,4209,499874
JEDDAH,جدة,29 Nov - 05 Dec,11434,1460735
RIYADH,الرياض,29 Nov - 05 Dec,23933,2938474
OTHER,المدن الأخرى,29 Nov - 05 Dec,25636,2497542
TABOUK,تبوك,26 Jul - 1 Aug,1399,153868
HAIL,حائل,26 Jul - 1 Aug,1463,161721
ABHA,أبها,26 Jul - 1 Aug,1509,172128
MAKKAH,مكة المكرمة,26 Jul - 1 Aug,2148,217985
BURAIDAH,بريدة,26 Jul - 1 Aug,2232,224500
KHOBAR,الخبر,26 Jul - 1 Aug,1847,288554
MADINA,المنورة,26 Jul - 1 Aug,3215,329177
DAMMAM,الدمام,26 Jul - 1 Aug,3338,427435
JEDDAH,جدة,26 Jul - 1 Aug,8639,1192135
RIYADH,الرياض,26 Jul - 1 Aug,18265,2343306
OTHER,المدن الأخرى,26 Jul - 1 Aug,24261,2686033
HAIL,حائل,"07 Mar,21  -  13 Mar,21",1660,148016
ABHA,أبها,"07 Mar,21  -  13 Mar,21",1330,115383
MAKKAH,مكة المكرمة,"07 Mar,21  -  13 Mar,21",3557,280736
BURAIDAH,بريدة,"07 Mar,21  -  13 Mar,21",2436,225378
KHOBAR,الخبر,"07 Mar,21  -  13 Mar,21",2365,294320
MADINA,المنورة,"07 Mar,21  -  13 Mar,21",4005,323902
DAMMAM,الدمام,"07 Mar,21  -  13 Mar,21",4348,463639
JEDDAH,جدة,"07 Mar,21  -  13 Mar,21",12716,1424004
RIYADH,الرياض,"07 Mar,21  -  13 Mar,21",24598,2678439
OTHER,المدن الأخرى,"07 Mar,21  -  13 Mar,21",28944,2441557
ABHA,أبها,20 - 27 Jun,1088,144233
HAIL,حائل,20 - 27 Jun,1013,157756
TABOUK,تبوك,20 - 27 Jun,1094,158121
MAKKAH,مكة المكرمة,20 - 27 Jun,1694,242142
BURAIDAH,بريدة,20 - 27 Jun,1769,274524
KHOBAR,الخبر,20 - 27 Jun,1586,330564
MADINA,المنورة,20 - 27 Jun,2289,337558
DAMMAM,الدمام,20 - 27 Jun,2893,546691
JEDDAH,جدة,20 - 27 Jun,7197,1489702
RIYADH,الرياض,20 - 27 Jun,15610,2808244
OTHER,المدن الأخرى,20 - 27 Jun,17553,2701811
HAIL,حائل,"08 Aug,21  -  14 Aug,21",1911,139493
ABHA,أبها,"08 Aug,21  -  14 Aug,21",2291,179111
MAKKAH,مكة المكرمة,"08 Aug,21  -  14 Aug,21",4266,288116
BURAIDAH,بريدة,"08 Aug,21  -  14 Aug,21",2640,214288
KHOBAR,الخبر,"08 Aug,21  -  14 Aug,21",2509,277672
MADINA,المنورة,"08 Aug,21  -  14 Aug,21",4704,322191
DAMMAM,الدمام,"08 Aug,21  -  14 Aug,21",4575,438477
JEDDAH,جدة,"08 Aug,21  -  14 Aug,21",14711,1410212
RIYADH,الرياض,"08 Aug,21  -  14 Aug,21",27699,2627460
OTHER,المدن الأخرى,"08 Aug,21  -  14 Aug,21",37173,2664068
HAIL,حائل,13 Dec - 19 Dec,1292,120772
ABHA,أبها,13 Dec - 19 Dec,1054,96868
MAKKAH,مكة المكرمة,13 Dec - 19 Dec,2726,223543
BURAIDAH,بريدة,13 Dec - 19 Dec,2086,195189
KHOBAR,الخبر,13 Dec - 19 Dec,2135,282125
MADINA,المنورة,13 Dec - 19 Dec,3233,266202
DAMMAM,الدمام,13 Dec - 19 Dec,3812,426371
JEDDAH,جدة,13 Dec - 19 Dec,10522,1230734
RIYADH,الرياض,13 Dec - 19 Dec,21569,2464733
OTHER,المدن الأخرى,13 Dec - 19 Dec,23237,2053773
HAIL,حائل,"28 Feb,21  -  06 Mar,21",1780,178798
ABHA,أبها,"28 Feb,21  -  06 Mar,21",1324,131105
MAKKAH,مكة المكرمة,"28 Feb,21  -  06 Mar,21",3748,334761
BURAIDAH,بريدة,"28 Feb,21  -  06 Mar,21",2541,255300
KHOBAR,الخبر,"28 Feb,21  -  06 Mar,21",2345,315482
MADINA,المنورة,"28 Feb,21  -  06 Mar,21",4188,377521
DAMMAM,الدمام,"28 Feb,21  -  06 Mar,21",4622,543203
JEDDAH,جدة,"28 Feb,21  -  06 Mar,21",12760,1556134
RIYADH,الرياض,"28 Feb,21  -  06 Mar,21",25263,2998935
OTHER,المدن الأخرى,"28 Feb,21  -  06 Mar,21",30651,2991442
HAIL,حائل,"05 Sep,21  -  11 Sep,21",2072,150306
ABHA,أبها,"05 Sep,21  -  11 Sep,21",1856,135983
MAKKAH,مكة المكرمة,"05 Sep,21  -  11 Sep,21",4492,291751
BURAIDAH,بريدة,"05 Sep,21  -  11 Sep,21",2848,228164
KHOBAR,الخبر,"05 Sep,21  -  11 Sep,21",2730,297374
MADINA,المنورة,"05 Sep,21  -  11 Sep,21",4854,327612
DAMMAM,الدمام,"05 Sep,21  -  11 Sep,21",5066,478246
JEDDAH,جدة,"05 Sep,21  -  11 Sep,21",15170,1406790
RIYADH,الرياض,"05 Sep,21  -  11 Sep,21",30070,2849098
OTHER,المدن الأخرى,"05 Sep,21  -  11 Sep,21",38603,2686301
ABHA,أبها,14 - 20 Jun,918,121943
HAIL,حائل,14 - 20 Jun,897,129593
TABOUK,تبوك,14 - 20 Jun,1014,131195
MAKKAH,مكة المكرمة,14 - 20 Jun,1465,187722
BURAIDAH,بريدة,14 - 20 Jun,1557,223173
KHOBAR,الخبر,14 - 20 Jun,1328,264975
MADINA,المنورة,14 - 20 Jun,2045,274319
DAMMAM,الدمام,14 - 20 Jun,2584,458358
JEDDAH,جدة,14 - 20 Jun,5633,1004886
RIYADH,الرياض,14 - 20 Jun,13388,2178505
OTHER,المدن الأخرى,14 - 20 Jun,15876,2286572
HAIL,حائل,11 Oct - 17 Oct,1225,113671
ABHA,أبها,11 Oct - 17 Oct,1094,99616
MAKKAH,مكة المكرمة,11 Oct - 17 Oct,2378,195717
BURAIDAH,بريدة,11 Oct - 17 Oct,2012,186292
KHOBAR,الخبر,11 Oct - 17 Oct,2058,262736
MADINA,المنورة,11 Oct - 17 Oct,3061,248430
DAMMAM,الدمام,11 Oct - 17 Oct,3681,397107
JEDDAH,جدة,11 Oct - 17 Oct,9586,1123834
RIYADH,الرياض,11 Oct - 17 Oct,20395,2256691
OTHER,المدن الأخرى,11 Oct - 17 Oct,21640,1920379
HAIL,حائل,"21 Mar,21  -  27 Mar,21",1556,145770
ABHA,أبها,"21 Mar,21  -  27 Mar,21",1334,118935
MAKKAH,مكة المكرمة,"21 Mar,21  -  27 Mar,21",3330,276614
BURAIDAH,بريدة,"21 Mar,21  -  27 Mar,21",2433,234710
KHOBAR,الخبر,"21 Mar,21  -  27 Mar,21",2427,311294
MADINA,المنورة,"21 Mar,21  -  27 Mar,21",3895,322160
DAMMAM,الدمام,"21 Mar,21  -  27 Mar,21",4377,489749
JEDDAH,جدة,"21 Mar,21  -  27 Mar,21",12305,1438258
RIYADH,الرياض,"21 Mar,21  -  27 Mar,21",24928,2825880
OTHER,المدن الأخرى,"21 Mar,21  -  27 Mar,21",28217,2507583
TABOUK,تبوك,02 - 08 Aug,1023,92867
HAIL,حائل,02 - 08 Aug,1091,101603
ABHA,أبها,02 - 08 Aug,1363,133805
MAKKAH,مكة المكرمة,02 - 08 Aug,1881,169336
BURAIDAH,بريدة,02 - 08 Aug,1842,168020
KHOBAR,الخبر,02 - 08 Aug,1724,232623
MADINA,المنورة,02 - 08 Aug,2606,225467
DAMMAM,الدمام,02 - 08 Aug,2744,309093
JEDDAH,جدة,02 - 08 Aug,7785,995920
RIYADH,الرياض,02 - 08 Aug,15383,1748974
OTHER,المدن الأخرى,02 - 08 Aug,19802,1860455
HAIL,حائل,"03 Jan,21  -  09 Jan,21",1461,135543
ABHA,أبها,"03 Jan,21  -  09 Jan,21",1028,94412
MAKKAH,مكة المكرمة,"03 Jan,21  -  09 Jan,21",3149,267391
BURAIDAH,بريدة,"03 Jan,21  -  09 Jan,21",2323,216659
KHOBAR,الخبر,"03 Jan,21  -  09 Jan,21",2475,342950
MADINA,المنورة,"03 Jan,21  -  09 Jan,21",3740,327961
DAMMAM,الدمام,"03 Jan,21  -  09 Jan,21",4152,475327
JEDDAH,جدة,"03 Jan,21  -  09 Jan,21",12606,1542599
RIYADH,الرياض,"03 Jan,21  -  09 Jan,21",23332,2673901
OTHER,المدن الأخرى,"03 Jan,21  -  09 Jan,21",25832,2311934
HAIL,حائل,"21 Feb,21  -  27 Feb,21",1306,121279
ABHA,أبها,"21 Feb,21  -  27 Feb,21",1093,93918
MAKKAH,مكة المكرمة,"21 Feb,21  -  27 Feb,21",2979,234277
BURAIDAH,بريدة,"21 Feb,21  -  27 Feb,21",2069,189857
KHOBAR,الخبر,"21 Feb,21  -  27 Feb,21",2007,259339
MADINA,المنورة,"21 Feb,21  -  27 Feb,21",3344,265021
DAMMAM,الدمام,"21 Feb,21  -  27 Feb,21",3843,422645
JEDDAH,جدة,"21 Feb,21  -  27 Feb,21",10562,1197955
RIYADH,الرياض,"21 Feb,21  -  27 Feb,21",21279,2328228
OTHER,المدن الأخرى,"21 Feb,21  -  27 Feb,21",24565,2103304
TABOUK,تبوك,5 - 11 Jul,1198,117324
HAIL,حائل,5 - 11 Jul,1117,117522
ABHA,أبها,5 - 11 Jul,1294,136103
BURAIDAH,بريدة,5 - 11 Jul,1850,180724
MAKKAH,مكة المكرمة,5 - 11 Jul,1867,182933
MADINA,المنورة,5 - 11 Jul,2512,237912
KHOBAR,الخبر,5 - 11 Jul,1722,245237
DAMMAM,الدمام,5 - 11 Jul,3094,368907
JEDDAH,جدة,5 - 11 Jul,7961,1091050
OTHER,المدن الأخرى,5 - 11 Jul,19234,1959655
RIYADH,الرياض,5 - 11 Jul,17080,2067246
