English_City,Arabic_City,Date,Number of Transactions,Value of Transactions,location_latitude,location_longitude
ABHA,أبها,"01 Aug,21  -  07 Aug,21",2453,200696,18.2164282,42.5043596
ABHA,أبها,09 - 15 Aug,1393,143986,18.2164282,42.5043596
ABHA,أبها,01 Nov - 07 Nov,1164,114849,18.2164282,42.5043596
ABHA,أبها,"19 Sep,21  -  25 Sep,21",1770,129860,18.2164282,42.5043596
ABHA,أبها,25 Oct - 31 Oct,1218,132275,18.2164282,42.5043596
ABHA,أبها,09 - 15 Aug,1393,143986,18.2164282,42.5043596
ABHA,أبها,28 Jun - 4 Jul,1328,177548,18.2164282,42.5043596
ABHA,أبها,"27 Dec,20  -  02 Jan,21",1249,132797,18.2164282,42.5043596
ABHA,أبها,"13 Jun,21  -  19 Jun,21",2011,163289,18.2164282,42.5043596
ABHA,أبها,"23 May,21  -  29 May,21",1824,157942,18.2164282,42.5043596
ABHA,أبها,20 - 26 Sep,1147,117318,18.2164282,42.5043596
ABHA,أبها,20 Dec - 26 Dec,1064,97868,18.2164282,42.5043596
ABHA,أبها,"10 Jan,21  -  16 Jan,21",1011,88650,18.2164282,42.5043596
ABHA,أبها,06 - 12 Sep,1143,114533,18.2164282,42.5043596
ABHA,أبها,"25 Apr,21  -  01 May,21",1450,152086,18.2164282,42.5043596
ABHA,أبها,"29 Aug,21  -  04 Sep,21",1925,155275,18.2164282,42.5043596
ABHA,أبها,18 Oct - 24 Oct,1028,93686,18.2164282,42.5043596
ABHA,أبها,"14 Mar,21  -  20 Mar,21",1305,111458,18.2164282,42.5043596
ABHA,أبها,"11 Apr,21  -  17 Apr,21",1208,107000,18.2164282,42.5043596
ABHA,أبها,"31 Jan,21  -  06 Feb,21",1195,108752,18.2164282,42.5043596
ABHA,أبها,"03 Oct,21  -  09 Oct,21",1838,132846,18.2164282,42.5043596
ABHA,أبها,22 Nov - 28 Nov,1179,120226,18.2164282,42.5043596
ABHA,أبها,"26 Sep,21  -  02 Oct,21",1972,163430,18.2164282,42.5043596
ABHA,أبها,"22 Aug,21  -  28 Aug,21",2049,174113,18.2164282,42.5043596
ABHA,أبها,7 - 13 Jun,910,116432,18.2164282,42.5043596
ABHA,أبها,13 - 19 Sep,1061,103511,18.2164282,42.5043596
ABHA,أبها,"20 Jun,21  -  26 Jun,21",2004,163036,18.2164282,42.5043596
ABHA,أبها,"14 Feb,21  -  20 Feb,21",1082,91589,18.2164282,42.5043596
