English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Public Utilities,المنافع العامة,2021-05-01,790,83033.0
Jewelry,المجوهرات,2021-05-01,388,459818.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-05-01,7593,930669.0
Recreation and Culture,الترفية والثقافة,2021-05-01,1769,352827.0
Restaurants & Café,المطاعم والمقاهي,2021-05-01,19213,933114.0
Beverage and Food,الأطعمة والمشروبات,2021-05-01,23241,1523998.0
Telecommunication,الاتصالات,2021-05-01,485,154558.0
Transportation,المواصلات,2021-05-01,1373,570749.0
Other,أخرى,2021-05-01,11692,1534383.0
Total,الإجمالي,2021-05-01,91781,10731129.0
Clothing and Footwear,الملابس والأحذية,2022-01-01,6080,1022363.0
Construction & Building Materials,مواد التشييد والبناء,2022-01-01,1141,410091.0
Education,التعليم,2022-01-01,96,170379.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-01-01,834,301231.0
Gas,محطات الوقود,2022-01-01,11762,718996.0
Health,الصحة,2022-01-01,7011,844757.0
Furniture,الأثاث,2022-01-01,1189,463125.0
Hotels,الفنادق,2022-01-01,533,204489.0
Public Utilities,المنافع العامة,2022-01-01,889,80895.0
Jewelry,المجوهرات,2022-01-01,231,248883.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-01-01,13703,1162429.0
Recreation and Culture,الترفية والثقافة,2022-01-01,2156,357798.0
Restaurants & Café,المطاعم والمقاهي,2022-01-01,38167,1598649.0
Beverage and Food,الأطعمة والمشروبات,2022-01-01,29910,1834700.0
Telecommunication,الاتصالات,2022-01-01,513,117258.0
Transportation,المواصلات,2022-01-01,1921,599479.0
Other,أخرى,2022-01-01,15883,1704384.0
Total,الإجمالي,2022-01-01,132018,11839906.0
Clothing and Footwear,الملابس والأحذية,2022-03-05,5061,850866.0
Construction & Building Materials,مواد التشييد والبناء,2022-03-05,1162,431073.0
Education,التعليم,2022-03-05,137,157321.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-03-05,837,305357.0
Gas,محطات الوقود,2022-03-05,11878,722728.0
Health,الصحة,2022-03-05,7311,872431.0
Furniture,الأثاث,2022-03-05,1155,408805.0
Hotels,الفنادق,2022-03-05,548,217707.0
Public Utilities,المنافع العامة,2022-03-05,933,86016.0
Jewelry,المجوهرات,2022-03-05,217,215972.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-03-05,15262,1281885.0
Recreation and Culture,الترفية والثقافة,2022-03-05,2517,338363.0
Restaurants & Café,المطاعم والمقاهي,2022-03-05,40263,1602669.0
Beverage and Food,الأطعمة والمشروبات,2022-03-05,32488,1995516.0
Telecommunication,الاتصالات,2022-03-05,516,118890.0
Transportation,المواصلات,2022-03-05,1972,625712.0
Other,أخرى,2022-03-05,17264,1786716.0
Total,الإجمالي,2022-03-05,139521,12018026.0
Clothing and Footwear,الملابس والأحذية,2021-09-04,4082,641280.0
Construction & Building Materials,مواد التشييد والبناء,2021-09-04,912,341541.0
Education,التعليم,2021-09-04,185,571134.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-09-04,821,307518.0
Gas,محطات الوقود,2021-09-04,10362,616545.0
Health,الصحة,2021-09-04,5973,734092.0
Furniture,الأثاث,2021-09-04,944,311800.0
Hotels,الفنادق,2021-09-04,497,152914.0
Public Utilities,المنافع العامة,2021-09-04,965,96609.0
Jewelry,المجوهرات,2021-09-04,193,188871.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-09-04,10585,972101.0
Recreation and Culture,الترفية والثقافة,2021-09-04,2402,357948.0
Restaurants & Café,المطاعم والمقاهي,2021-09-04,31206,1294672.0
Beverage and Food,الأطعمة والمشروبات,2021-09-04,27764,1538362.0
Telecommunication,الاتصالات,2021-09-04,501,126413.0
Transportation,المواصلات,2021-09-04,1598,573618.0
Other,أخرى,2021-09-04,13383,1371280.0
Total,الإجمالي,2021-09-04,112375,10196698.0
Construction & Building Materials,مواد التشييد والبناء,2020-10-24,677,348857.0
Education,التعليم,2020-10-24,38,47776.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-10-24,575,247874.0
Gas,محطات الوقود,2020-10-24,5845,274656.0
Health,الصحة,2020-10-24,4495,573447.0
Furniture,الأثاث,2020-10-24,614,275624.0
Hotels,الفنادق,2020-10-24,334,119286.0
Public Utilities,المنافع العامة,2020-10-24,502,59480.0
Jewelry,المجوهرات,2020-10-24,140,181507.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-10-24,2758,511167.0
Recreation and Culture,الترفية والثقافة,2020-10-24,1242,213059.0
Restaurants & Café,المطاعم والمقاهي,2020-10-24,18986,897608.0
Beverage and Food,الأطعمة والمشروبات,2020-10-24,17702,1081421.0
Telecommunication,الاتصالات,2020-10-24,207,53399.0
Transportation,المواصلات,2020-10-24,883,391679.0
Other,أخرى,2020-10-24,7454,927837.0
Total,الإجمالي,2020-10-24,65150,6712407.0
Clothing and Footwear,الملابس والأحذية,2021-12-11,4780,803781.0
Construction & Building Materials,مواد التشييد والبناء,2021-12-11,1075,396310.0
Education,التعليم,2021-12-11,131,216340.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-12-11,780,276850.0
Gas,محطات الوقود,2021-12-11,10727,627885.0
Health,الصحة,2021-12-11,6484,702169.0
Furniture,الأثاث,2021-12-11,985,349712.0
Hotels,الفنادق,2021-12-11,515,195217.0
Public Utilities,المنافع العامة,2021-12-11,804,73465.0
Jewelry,المجوهرات,2021-12-11,198,210256.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-12-11,12565,998908.0
Recreation and Culture,الترفية والثقافة,2021-12-11,2091,297408.0
Restaurants & Café,المطاعم والمقاهي,2021-12-11,34635,1385615.0
Beverage and Food,الأطعمة والمشروبات,2021-12-11,28002,1462534.0
Telecommunication,الاتصالات,2021-12-11,460,110382.0
Transportation,المواصلات,2021-12-11,1682,519248.0
Other,أخرى,2021-12-11,14235,1384792.0
Total,الإجمالي,2021-12-11,120149,10010872.0
Construction & Building Materials,مواد التشييد والبناء,2021-03-20,854,431287.0
Education,التعليم,2021-03-20,45,67762.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-03-20,665,313539.0
Gas,محطات الوقود,2021-03-20,7751,422815.0
Health,الصحة,2021-03-20,5043,627629.0
Furniture,الأثاث,2021-03-20,883,374506.0
Hotels,الفنادق,2021-03-20,411,115760.0
Public Utilities,المنافع العامة,2021-03-20,665,76052.0
Jewelry,المجوهرات,2021-03-20,216,309082.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-03-20,6313,717088.0
Recreation and Culture,الترفية والثقافة,2021-03-20,1465,253603.0
Restaurants & Café,المطاعم والمقاهي,2021-03-20,24485,1079084.0
Beverage and Food,الأطعمة والمشروبات,2021-03-20,22388,1262558.0
Telecommunication,الاتصالات,2021-03-20,313,85643.0
Transportation,المواصلات,2021-03-20,1113,435357.0
Other,أخرى,2021-03-20,9683,1186478.0
Total,الإجمالي,2021-03-20,86005,8458197.0
Clothing and Footwear,الملابس والأحذية,2021-04-17,3820,692622.0
Construction & Building Materials,مواد التشييد والبناء,2021-04-17,867,324973.0
Education,التعليم,2021-04-17,41,76465.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-04-17,695,277634.0
Gas,محطات الوقود,2021-04-17,7544,418959.0
Health,الصحة,2021-04-17,4959,572791.0
Furniture,الأثاث,2021-04-17,887,341267.0
Hotels,الفنادق,2021-04-17,231,84385.0
Public Utilities,المنافع العامة,2021-04-17,733,75458.0
Jewelry,المجوهرات,2021-04-17,162,203850.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-04-17,6580,691595.0
Recreation and Culture,الترفية والثقافة,2021-04-17,1359,214138.0
Restaurants & Café,المطاعم والمقاهي,2021-04-17,17587,757164.0
Beverage and Food,الأطعمة والمشروبات,2021-04-17,24160,1689616.0
Telecommunication,الاتصالات,2021-04-17,340,101215.0
Transportation,المواصلات,2021-04-17,1064,410897.0
Other,أخرى,2021-04-17,10597,1263767.0
Total,الإجمالي,2021-04-17,81624,8196797.0
Clothing and Footwear,الملابس والأحذية,2022-01-22,4951,738416.0
Construction & Building Materials,مواد التشييد والبناء,2022-01-22,972,361582.0
Education,التعليم,2022-01-22,117,198093.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-01-22,648,228380.0
Gas,محطات الوقود,2022-01-22,9895,561189.0
Health,الصحة,2022-01-22,6502,657850.0
Furniture,الأثاث,2022-01-22,885,275335.0
Hotels,الفنادق,2022-01-22,422,156025.0
Public Utilities,المنافع العامة,2022-01-22,757,62295.0
Jewelry,المجوهرات,2022-01-22,145,156228.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-01-22,11608,854381.0
Recreation and Culture,الترفية والثقافة,2022-01-22,1925,274529.0
Restaurants & Café,المطاعم والمقاهي,2022-01-22,31743,1196973.0
Beverage and Food,الأطعمة والمشروبات,2022-01-22,25716,1276441.0
Telecommunication,الاتصالات,2022-01-22,358,79361.0
Transportation,المواصلات,2022-01-22,1399,450027.0
Other,أخرى,2022-01-22,13465,1246862.0
Total,الإجمالي,2022-01-22,111506,8773967.0
Construction & Building Materials,مواد التشييد والبناء,2021-02-06,805,401940.0
Education,التعليم,2021-02-06,67,170616.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-02-06,717,327550.0
Gas,محطات الوقود,2021-02-06,7405,384665.0
Health,الصحة,2021-02-06,5375,698767.0
Furniture,الأثاث,2021-02-06,778,325175.0
Hotels,الفنادق,2021-02-06,415,149692.0
Public Utilities,المنافع العامة,2021-02-06,670,74775.0
Jewelry,المجوهرات,2021-02-06,188,251377.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-02-06,5568,763644.0
Recreation and Culture,الترفية والثقافة,2021-02-06,1627,299543.0
Restaurants & Café,المطاعم والمقاهي,2021-02-06,23904,1080130.0
Beverage and Food,الأطعمة والمشروبات,2021-02-06,21736,1404798.0
Telecommunication,الاتصالات,2021-02-06,328,76657.0
Transportation,المواصلات,2021-02-06,1153,461468.0
Other,أخرى,2021-02-06,9146,1120263.0
Total,الإجمالي,2021-02-06,83184,8555927.0
Clothing and Footwear,الملابس والأحذية,2022-03-26,4535,813377.0
Construction & Building Materials,مواد التشييد والبناء,2022-03-26,1086,416573.0
Education,التعليم,2022-03-26,135,200172.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-03-26,738,276199.0
Gas,محطات الوقود,2022-03-26,11493,651074.0
Health,الصحة,2022-03-26,6013,668949.0
Furniture,الأثاث,2022-03-26,1076,377192.0
Hotels,الفنادق,2022-03-26,543,228367.0
Public Utilities,المنافع العامة,2022-03-26,861,75156.0
Jewelry,المجوهرات,2022-03-26,196,217054.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-03-26,14010,1051382.0
Recreation and Culture,الترفية والثقافة,2022-03-26,2412,290406.0
Restaurants & Café,المطاعم والمقاهي,2022-03-26,37021,1411797.0
Beverage and Food,الأطعمة والمشروبات,2022-03-26,30214,1761036.0
Telecommunication,الاتصالات,2022-03-26,395,93488.0
Transportation,المواصلات,2022-03-26,1638,535070.0
Other,أخرى,2022-03-26,15880,1600467.0
Total,الإجمالي,2022-03-26,128246,10667760.0
Clothing and Footwear,الملابس والأحذية,2022-01-15,4458,690931.0
Construction & Building Materials,مواد التشييد والبناء,2022-01-15,1032,374486.0
Education,التعليم,2022-01-15,52,67009.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-01-15,678,233488.0
Gas,محطات الوقود,2022-01-15,11050,652868.0
Health,الصحة,2022-01-15,6961,709720.0
Furniture,الأثاث,2022-01-15,928,302957.0
Hotels,الفنادق,2022-01-15,636,258316.0
Public Utilities,المنافع العامة,2022-01-15,813,67633.0
Jewelry,المجوهرات,2022-01-15,188,206335.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-01-15,12726,945571.0
Recreation and Culture,الترفية والثقافة,2022-01-15,1648,266179.0
Restaurants & Café,المطاعم والمقاهي,2022-01-15,35659,1494256.0
Beverage and Food,الأطعمة والمشروبات,2022-01-15,27682,1356202.0
Telecommunication,الاتصالات,2022-01-15,394,85377.0
Transportation,المواصلات,2022-01-15,1606,490436.0
Other,أخرى,2022-01-15,14166,1303257.0
Total,الإجمالي,2022-01-15,120676,9505021.0
Clothing and Footwear,الملابس والأحذية,2021-10-23,3140,537266.0
Construction & Building Materials,مواد التشييد والبناء,2021-10-23,905,354038.0
Education,التعليم,2021-10-23,83,51694.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-10-23,624,230870.0
Gas,محطات الوقود,2021-10-23,9653,542296.0
Health,الصحة,2021-10-23,5464,604629.0
Furniture,الأثاث,2021-10-23,749,267554.0
Hotels,الفنادق,2021-10-23,486,171004.0
Public Utilities,المنافع العامة,2021-10-23,858,71969.0
Jewelry,المجوهرات,2021-10-23,172,185021.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-10-23,10163,764427.0
Recreation and Culture,الترفية والثقافة,2021-10-23,1591,231298.0
Restaurants & Café,المطاعم والمقاهي,2021-10-23,30093,1192596.0
Beverage and Food,الأطعمة والمشروبات,2021-10-23,25368,1193924.0
Telecommunication,الاتصالات,2021-10-23,345,78083.0
Transportation,المواصلات,2021-10-23,1344,455722.0
Other,أخرى,2021-10-23,11726,1089470.0
Total,الإجمالي,2021-10-23,102766,8021859.0
Clothing and Footwear,الملابس والأحذية,2021-12-18,4095,706350.0
Construction & Building Materials,مواد التشييد والبناء,2021-12-18,1012,380718.0
Education,التعليم,2021-12-18,109,137969.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-12-18,687,242796.0
Gas,محطات الوقود,2021-12-18,10373,590314.0
Health,الصحة,2021-12-18,5898,642984.0
Furniture,الأثاث,2021-12-18,872,328525.0
Hotels,الفنادق,2021-12-18,492,199172.0
Public Utilities,المنافع العامة,2021-12-18,768,65352.0
Jewelry,المجوهرات,2021-12-18,171,198677.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-12-18,11696,897852.0
Recreation and Culture,الترفية والثقافة,2021-12-18,1844,247064.0
Restaurants & Café,المطاعم والمقاهي,2021-12-18,33192,1302899.0
Beverage and Food,الأطعمة والمشروبات,2021-12-18,26771,1282852.0
Telecommunication,الاتصالات,2021-12-18,387,85829.0
Transportation,المواصلات,2021-12-18,1489,484804.0
Other,أخرى,2021-12-18,13234,1254031.0
Total,الإجمالي,2021-12-18,113088,9048190.0
Clothing and Footwear,الملابس والأحذية,2021-10-09,3844,612224.0
Construction & Building Materials,مواد التشييد والبناء,2021-10-09,985,360766.0
Education,التعليم,2021-10-09,107,94796.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-10-09,718,257898.0
Gas,محطات الوقود,2021-10-09,10346,598103.0
Health,الصحة,2021-10-09,6049,701601.0
Furniture,الأثاث,2021-10-09,870,293048.0
Hotels,الفنادق,2021-10-09,490,156809.0
Public Utilities,المنافع العامة,2021-10-09,942,85810.0
Jewelry,المجوهرات,2021-10-09,208,201373.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-10-09,11043,915206.0
Recreation and Culture,الترفية والثقافة,2021-10-09,1968,269294.0
Restaurants & Café,المطاعم والمقاهي,2021-10-09,32450,1297431.0
Beverage and Food,الأطعمة والمشروبات,2021-10-09,27522,1403638.0
Telecommunication,الاتصالات,2021-10-09,418,102571.0
Transportation,المواصلات,2021-10-09,1568,503247.0
Other,أخرى,2021-10-09,13485,1303911.0
Total,الإجمالي,2021-10-09,113012,9157727.0
Clothing and Footwear,الملابس والأحذية,2021-11-06,4431,762797.0
Construction & Building Materials,مواد التشييد والبناء,2021-11-06,1039,382865.0
Education,التعليم,2021-11-06,113,94501.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-11-06,858,351959.0
Gas,محطات الوقود,2021-11-06,10552,621901.0
Health,الصحة,2021-11-06,6345,722531.0
Furniture,الأثاث,2021-11-06,954,333876.0
Hotels,الفنادق,2021-11-06,552,199161.0
Public Utilities,المنافع العامة,2021-11-06,977,86168.0
Jewelry,المجوهرات,2021-11-06,214,224224.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-11-06,12102,991119.0
Recreation and Culture,الترفية والثقافة,2021-11-06,1927,270403.0
Restaurants & Café,المطاعم والمقاهي,2021-11-06,34394,1407271.0
Beverage and Food,الأطعمة والمشروبات,2021-11-06,27959,1471223.0
Telecommunication,الاتصالات,2021-11-06,435,102284.0
Transportation,المواصلات,2021-11-06,1696,554187.0
Other,أخرى,2021-11-06,13593,1426675.0
Total,الإجمالي,2021-11-06,118141,10003145.0
Construction & Building Materials,مواد التشييد والبناء,2020-11-28,773,385561.0
Education,التعليم,2020-11-28,42,57785.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-11-28,737,360865.0
Gas,محطات الوقود,2020-11-28,6674,332849.0
Health,الصحة,2020-11-28,4862,661118.0
Furniture,الأثاث,2020-11-28,809,385697.0
Hotels,الفنادق,2020-11-28,399,145654.0
Public Utilities,المنافع العامة,2020-11-28,560,68693.0
Jewelry,المجوهرات,2020-11-28,183,228531.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-11-28,3938,664040.0
Recreation and Culture,الترفية والثقافة,2020-11-28,1388,278100.0
Restaurants & Café,المطاعم والمقاهي,2020-11-28,22136,1098177.0
Beverage and Food,الأطعمة والمشروبات,2020-11-28,19913,1418521.0
Telecommunication,الاتصالات,2020-11-28,294,78764.0
Transportation,المواصلات,2020-11-28,1094,444680.0
Other,أخرى,2020-11-28,8519,1192507.0
Total,الإجمالي,2020-11-28,76623,8647581.0
Clothing and Footwear,الملابس والأحذية,2021-10-02,4423,717807.0
Construction & Building Materials,مواد التشييد والبناء,2021-10-02,1026,402540.0
Education,التعليم,2021-10-02,120,142382.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-10-02,834,331141.0
Gas,محطات الوقود,2021-10-02,10707,655175.0
Health,الصحة,2021-10-02,6638,895673.0
Furniture,الأثاث,2021-10-02,981,408503.0
Hotels,الفنادق,2021-10-02,510,167231.0
Public Utilities,المنافع العامة,2021-10-02,1001,97582.0
Jewelry,المجوهرات,2021-10-02,238,230814.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-10-02,11675,1119082.0
Recreation and Culture,الترفية والثقافة,2021-10-02,2169,345613.0
Restaurants & Café,المطاعم والمقاهي,2021-10-02,33270,1393560.0
Beverage and Food,الأطعمة والمشروبات,2021-10-02,28942,1825795.0
Telecommunication,الاتصالات,2021-10-02,502,124629.0
Transportation,المواصلات,2021-10-02,1769,607869.0
Other,أخرى,2021-10-02,14333,1561961.0
Total,الإجمالي,2021-10-02,119137,11027353.0
Clothing and Footwear,الملابس والأحذية,2021-08-28,4705,757761.0
Construction & Building Materials,مواد التشييد والبناء,2021-08-28,878,335238.0
Education,التعليم,2021-08-28,156,698211.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-08-28,787,304588.0
Gas,محطات الوقود,2021-08-28,10399,628959.0
Health,الصحة,2021-08-28,5914,737156.0
Furniture,الأثاث,2021-08-28,935,306268.0
Hotels,الفنادق,2021-08-28,548,178602.0
Public Utilities,المنافع العامة,2021-08-28,951,93563.0
Jewelry,المجوهرات,2021-08-28,195,193782.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-08-28,10310,925369.0
Recreation and Culture,الترفية والثقافة,2021-08-28,2051,361070.0
Restaurants & Café,المطاعم والمقاهي,2021-08-28,30394,1309043.0
Beverage and Food,الأطعمة والمشروبات,2021-08-28,27158,1616635.0
Telecommunication,الاتصالات,2021-08-28,483,126702.0
Transportation,المواصلات,2021-08-28,1550,570677.0
Other,أخرى,2021-08-28,13083,1396244.0
Total,الإجمالي,2021-08-28,110497,10539869.0
Clothing and Footwear,الملابس والأحذية,2020-06-13,1963,383822.0
Construction & Building Materials,مواد التشييد والبناء,2020-06-13,669,599315.0
Education,التعليم,2020-06-13,27,83707.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-06-13,620,440338.0
Gas,محطات الوقود,2020-06-13,3663,135174.0
Health,الصحة,2020-06-13,4967,587288.0
Furniture,الأثاث,2020-06-13,561,395101.0
Hotels,الفنادق,2020-06-13,149,48959.0
Public Utilities,المنافع العامة,2020-06-13,427,76498.0
Jewelry,المجوهرات,2020-06-13,183,335823.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-06-13,1397,545932.0
Recreation and Culture,الترفية والثقافة,2020-06-13,950,249400.0
Restaurants & Café,المطاعم والمقاهي,2020-06-13,11135,554641.0
Beverage and Food,الأطعمة والمشروبات,2020-06-13,15247,1199517.0
Telecommunication,الاتصالات,2020-06-13,209,68356.0
Transportation,المواصلات,2020-06-13,778,566403.0
Other,أخرى,2020-06-13,5264,1025557.0
Total,الإجمالي,2020-06-13,48209,7295830.0
Clothing and Footwear,الملابس والأحذية,2020-09-19,2706,474351.0
Construction & Building Materials,مواد التشييد والبناء,2020-09-19,646,331732.0
Education,التعليم,2020-09-19,53,104869.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-09-19,624,273695.0
Gas,محطات الوقود,2020-09-19,5776,277338.0
Health,الصحة,2020-09-19,4541,611742.0
Furniture,الأثاث,2020-09-19,610,298467.0
Hotels,الفنادق,2020-09-19,308,106134.0
Public Utilities,المنافع العامة,2020-09-19,607,72823.0
Jewelry,المجوهرات,2020-09-19,148,167825.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-09-19,2318,532454.0
Recreation and Culture,الترفية والثقافة,2020-09-19,1441,231787.0
Restaurants & Café,المطاعم والمقاهي,2020-09-19,18455,894098.0
Beverage and Food,الأطعمة والمشروبات,2020-09-19,17578,1104794.0
Telecommunication,الاتصالات,2020-09-19,257,61832.0
Transportation,المواصلات,2020-09-19,903,400922.0
Other,أخرى,2020-09-19,7414,933995.0
Total,الإجمالي,2020-09-19,64385,6878859.0
Clothing and Footwear,الملابس والأحذية,2021-06-26,3451,598036.0
Construction & Building Materials,مواد التشييد والبناء,2021-06-26,805,362745.0
Education,التعليم,2021-06-26,45,42277.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-06-26,620,256541.0
Gas,محطات الوقود,2021-06-26,8830,509507.0
Health,الصحة,2021-06-26,5255,673534.0
Furniture,الأثاث,2021-06-26,741,298686.0
Hotels,الفنادق,2021-06-26,521,186777.0
Public Utilities,المنافع العامة,2021-06-26,820,78775.0
Jewelry,المجوهرات,2021-06-26,195,250705.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-06-26,8101,777151.0
Recreation and Culture,الترفية والثقافة,2021-06-26,1336,215429.0
Restaurants & Café,المطاعم والمقاهي,2021-06-26,27052,1157242.0
Beverage and Food,الأطعمة والمشروبات,2021-06-26,24209,1266407.0
Telecommunication,الاتصالات,2021-06-26,315,86044.0
Transportation,المواصلات,2021-06-26,1256,493962.0
Other,أخرى,2021-06-26,10559,1104081.0
Total,الإجمالي,2021-06-26,94112,8357901.0
Clothing and Footwear,الملابس والأحذية,2021-02-20,2541,441142.0
Construction & Building Materials,مواد التشييد والبناء,2021-02-20,758,393968.0
Education,التعليم,2021-02-20,44,82584.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-02-20,625,271682.0
Gas,محطات الوقود,2021-02-20,7251,385297.0
Health,الصحة,2021-02-20,4695,592543.0
Furniture,الأثاث,2021-02-20,668,295327.0
Hotels,الفنادق,2021-02-20,300,106365.0
Public Utilities,المنافع العامة,2021-02-20,643,67653.0
Jewelry,المجوهرات,2021-02-20,175,262875.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-02-20,5123,602747.0
Recreation and Culture,الترفية والثقافة,2021-02-20,1321,251403.0
Restaurants & Café,المطاعم والمقاهي,2021-02-20,20979,841728.0
Beverage and Food,الأطعمة والمشروبات,2021-02-20,20834,1168820.0
Telecommunication,الاتصالات,2021-02-20,273,63608.0
Transportation,المواصلات,2021-02-20,1014,397244.0
Other,أخرى,2021-02-20,8348,963200.0
Total,الإجمالي,2021-02-20,75594,7188188.0
Clothing and Footwear,الملابس والأحذية,2021-06-12,3519,595985.0
Construction & Building Materials,مواد التشييد والبناء,2021-06-12,859,374191.0
Education,التعليم,2021-06-12,50,57309.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-06-12,676,281563.0
Gas,محطات الوقود,2021-06-12,9494,558845.0
Health,الصحة,2021-06-12,5708,719477.0
Furniture,الأثاث,2021-06-12,821,313462.0
Hotels,الفنادق,2021-06-12,573,194674.0
Public Utilities,المنافع العامة,2021-06-12,859,85069.0
Jewelry,المجوهرات,2021-06-12,203,225706.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-06-12,8558,814394.0
Recreation and Culture,الترفية والثقافة,2021-06-12,1483,235876.0
Restaurants & Café,المطاعم والمقاهي,2021-06-12,29077,1271310.0
Beverage and Food,الأطعمة والمشروبات,2021-06-12,25568,1337600.0
Telecommunication,الاتصالات,2021-06-12,349,94987.0
Transportation,المواصلات,2021-06-12,1382,535536.0
Other,أخرى,2021-06-12,11238,1180832.0
Total,الإجمالي,2021-06-12,100417,8876817.0
Clothing and Footwear,الملابس والأحذية,2020-07-18,3024,581744.0
Construction & Building Materials,مواد التشييد والبناء,2020-07-18,647,311268.0
Education,التعليم,2020-07-18,31,55561.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-07-18,551,235875.0
Gas,محطات الوقود,2020-07-18,4960,225825.0
Health,الصحة,2020-07-18,4593,630262.0
Furniture,الأثاث,2020-07-18,609,271734.0
Hotels,الفنادق,2020-07-18,292,105487.0
Public Utilities,المنافع العامة,2020-07-18,522,63049.0
Jewelry,المجوهرات,2020-07-18,156,178154.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-07-18,1784,503782.0
Recreation and Culture,الترفية والثقافة,2020-07-18,1037,201088.0
Restaurants & Café,المطاعم والمقاهي,2020-07-18,15809,806897.0
Beverage and Food,الأطعمة والمشروبات,2020-07-18,15688,1036837.0
Telecommunication,الاتصالات,2020-07-18,201,47733.0
Transportation,المواصلات,2020-07-18,840,370173.0
Other,أخرى,2020-07-18,6349,904242.0
Total,الإجمالي,2020-07-18,57092,6529708.0
Clothing and Footwear,الملابس والأحذية,2022-03-19,5204,930028.0
Construction & Building Materials,مواد التشييد والبناء,2022-03-19,1083,429696.0
Education,التعليم,2022-03-19,94,74881.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-03-19,713,282259.0
Gas,محطات الوقود,2022-03-19,11209,656592.0
Health,الصحة,2022-03-19,6014,667521.0
Furniture,الأثاث,2022-03-19,1126,390794.0
Hotels,الفنادق,2022-03-19,717,304423.0
Public Utilities,المنافع العامة,2022-03-19,844,75431.0
Jewelry,المجوهرات,2022-03-19,198,218671.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2022-03-19,13981,1062211.0
Recreation and Culture,الترفية والثقافة,2022-03-19,1938,298156.0
Restaurants & Café,المطاعم والمقاهي,2022-03-19,37880,1575063.0
Beverage and Food,الأطعمة والمشروبات,2022-03-19,29182,1539428.0
Telecommunication,الاتصالات,2022-03-19,398,89792.0
Transportation,المواصلات,2022-03-19,1690,543471.0
Other,أخرى,2022-03-19,15779,1596845.0
Total,الإجمالي,2022-03-19,128050,10735263.0
Clothing and Footwear,الملابس والأحذية,2022-01-29,4950,740580.0
