English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Education,التعليم,2021-04-03,65,130117.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-04-03,823,381735.0
Gas,محطات الوقود,2021-04-03,8732,512107.0
Health,الصحة,2021-04-03,5900,802147.0
Furniture,الأثاث,2021-04-03,1168,487419.0
Hotels,الفنادق,2021-04-03,512,176979.0
Public Utilities,المنافع العامة,2021-04-03,815,96674.0
Jewelry,المجوهرات,2021-04-03,255,332967.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-04-03,7807,995364.0
Recreation and Culture,الترفية والثقافة,2021-04-03,1799,319309.0
Restaurants & Café,المطاعم والمقاهي,2021-04-03,28106,1324556.0
Beverage and Food,الأطعمة والمشروبات,2021-04-03,25314,1928605.0
Telecommunication,الاتصالات,2021-04-03,424,122565.0
Transportation,المواصلات,2021-04-03,1407,548558.0
Other,أخرى,2021-04-03,11961,1671299.0
Total,الإجمالي,2021-04-03,101622,11374969.0
Clothing and Footwear,الملابس والأحذية,2021-07-10,4747,820726.0
Construction & Building Materials,مواد التشييد والبناء,2021-07-10,880,364667.0
Education,التعليم,2021-07-10,50,46254.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-07-10,683,288254.0
Gas,محطات الوقود,2021-07-10,9637,572319.0
Health,الصحة,2021-07-10,5807,735672.0
Furniture,الأثاث,2021-07-10,872,333029.0
Hotels,الفنادق,2021-07-10,564,191875.0
Public Utilities,المنافع العامة,2021-07-10,893,86587.0
Jewelry,المجوهرات,2021-07-10,223,255585.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-07-10,9279,894643.0
Recreation and Culture,الترفية والثقافة,2021-07-10,1532,237952.0
Restaurants & Café,المطاعم والمقاهي,2021-07-10,29610,1267334.0
Beverage and Food,الأطعمة والمشروبات,2021-07-10,25961,1327766.0
Telecommunication,الاتصالات,2021-07-10,393,109194.0
Transportation,المواصلات,2021-07-10,1437,555154.0
Other,أخرى,2021-07-10,11891,1265047.0
Total,الإجمالي,2021-07-10,104460,9352060.0
Clothing and Footwear,الملابس والأحذية,2021-02-13,2801,488523.0
Construction & Building Materials,مواد التشييد والبناء,2021-02-13,800,404765.0
Education,التعليم,2021-02-13,50,105047.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-02-13,674,288144.0
Gas,محطات الوقود,2021-02-13,7421,390504.0
Health,الصحة,2021-02-13,5025,636915.0
Furniture,الأثاث,2021-02-13,739,320052.0
Hotels,الفنادق,2021-02-13,315,110421.0
Public Utilities,المنافع العامة,2021-02-13,662,70271.0
Jewelry,المجوهرات,2021-02-13,180,251217.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-02-13,5272,643578.0
Recreation and Culture,الترفية والثقافة,2021-02-13,1431,274846.0
Restaurants & Café,المطاعم والمقاهي,2021-02-13,21655,885684.0
Beverage and Food,الأطعمة والمشروبات,2021-02-13,21495,1257578.0
Telecommunication,الاتصالات,2021-02-13,305,68755.0
Transportation,المواصلات,2021-02-13,1086,419162.0
Other,أخرى,2021-02-13,8740,1015548.0
Total,الإجمالي,2021-02-13,78653,7631010.0
Clothing and Footwear,الملابس والأحذية,2021-08-21,3091,514636.0
Construction & Building Materials,مواد التشييد والبناء,2021-08-21,800,315229.0
Education,التعليم,2021-08-21,69,227777.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-08-21,621,237927.0
Gas,محطات الوقود,2021-08-21,9278,528355.0
Health,الصحة,2021-08-21,5198,616280.0
Furniture,الأثاث,2021-08-21,734,260680.0
Hotels,الفنادق,2021-08-21,518,178110.0
Public Utilities,المنافع العامة,2021-08-21,834,74731.0
Jewelry,المجوهرات,2021-08-21,164,177340.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-08-21,8933,733370.0
Recreation and Culture,الترفية والثقافة,2021-08-21,1382,217155.0
Restaurants & Café,المطاعم والمقاهي,2021-08-21,27505,1118526.0
Beverage and Food,الأطعمة والمشروبات,2021-08-21,25114,1208495.0
Telecommunication,الاتصالات,2021-08-21,333,78938.0
Transportation,المواصلات,2021-08-21,1289,462820.0
Other,أخرى,2021-08-21,11074,1051865.0
Total,الإجمالي,2021-08-21,96937,8002233.0
